month,CW-cost_before-tax (USD),CW-cost_after-tax (USD),ES-cost_before-tax (USD),ES-cost_after-tax (USD)
2019-03-01,274.39303375607994,342.9912921951,4092.12148166136,5115.1518520767
2019-04-01,213.72864545496,267.1608068187,3536.82861216944,4421.0357652118
2019-05-01,212.00102462608,265.0012807826,3639.84712920424,4549.8089115053
2019-06-01,258.12179691048,322.6522461381,3530.5981062965598,4413.247632870699
2019-07-01,502.8717732168,628.589716521,3171.6781617668003,3964.5977022085
2019-08-01,623.9478394239999,779.9347992799999,3222.62110265536,4028.2763783192
2019-09-01,624.17800950024,780.2225118753,3714.81228938352,4643.5153617294
2019-10-01,834.4548076008799,1043.0685095011,5011.45624989176,6264.3203123647
2019-11-01,1054.6693075014402,1318.3366343768002,5285.70836410784,6607.1354551348
2019-12-01,1506.52862186992,1883.1607773374,4246.60751039952,5308.2593879994
2020-01-01,1709.9382193932,2137.4227742415,7213.36406233584,9016.7050779198
2020-02-01,2388.98243996656,2986.2280499582,7908.019972850639,9885.0249660633
2020-03-01,2594.0001700502403,3242.5002125628,5732.817494827441,7166.021868534301
2020-04-01,2480.51642679104,3100.6455334888,4889.51310600256,6111.8913825032
2020-05-01,3173.9113106519203,3967.3891383149,4307.13976147816,5383.9247018477
2020-06-01,3212.38732500832,4015.4841562604,2858.0183921955204,3572.5229902444003
2020-07-01,3733.82360223752,4667.2795027969,2136.33716613912,2670.4214576739005
2020-08-01,3877.85272478392,4847.3159059799,4810.74277235888,6013.4284654486
2020-09-01,4518.19115654648,5647.7389456831,5861.38855840216,7326.7356980027
2020-10-01,5255.79525077056,6569.744063463199,7042.27366390768,8802.8420798846
2020-11-01,4422.250714379921,5527.813392974901,7836.9073946916,9796.1342433645
2020-12-01,4423.64472186464,5529.5559023308,8202.523893328722,10253.1548666609
2021-01-01,4540.464364216319,5675.580455270399,8162.351801485679,10202.9397518571
2021-02-01,4344.109175928001,5430.136469910001,7416.73848151176,9270.9231018897
2021-03-01,5155.33850386472,6444.1731298309005,8269.88106883688,10337.3513360461
2021-04-01,4593.03519474824,5741.2939934353,8588.875245610001,10736.0940570125
2021-05-01,4982.61503003536,6228.268787544201,9354.37392291456,11692.9674036432
2021-06-01,5093.25416018208,6366.567700227601,9335.54258626896,11669.4282328362
2021-07-01,4529.977692466641,5662.472115583301,9834.84884976976,12293.5610622122
2021-08-01,4560.4648615792,5700.581076974,10718.11935247848,13397.649190598098
2021-09-01,4367.61777162808,5459.5222145351,10373.79032200472,12967.237902505902
2021-10-01,4583.2120830659205,5729.0151038324,9982.9430001936,12478.678750242
2021-11-01,4546.861783197361,5683.577228996701,9581.286102630718,11976.6076282884
2021-12-01,4450.394489955919,5562.993112444899,9857.59895645248,12321.9986955656
2022-01-01,5061.13759329896,6326.421991623701,10260.58107505264,12825.7263438158
2022-02-01,4961.156825471759,6201.446031839699,10044.92918001784,12556.1614750223
2022-03-01,5447.8361412801605,6809.795176600201,11288.22206954976,14110.277586937202
2022-04-01,5771.61604839232,7214.5200604904,10973.42463816528,13716.7807977066
2022-05-01,5800.712239398081,7250.8902992476,11794.96789178224,14743.7098647278
2022-06-01,4616.21622237616,5770.2702779702,12108.64521272608,15135.8065159076
2022-07-01,3438.8523614977603,4298.5654518722,12597.52132045776,15746.9016505722
2022-08-01,1598.0541061323197,1997.5676326654,5582.18086953592,6977.7260869199
